Mot;Segmentation graphèmes;Segmentation phonèmes;GPMATCH
pluie;.p.l.u.i.e;.p.l.8.i.#;(p-p.l-l.u-8.i-i.e-#)
plume;.p.l.u.m.e;.p.l.y.m.#;(p-p.l-l.u-y.m-m.e-#)
poignée;.p.oi.gn.é.e;.p.wa.N.e.#;(p-p.oi-wa.gn-N.é-e.e-#)
poisson;.p.oi.ss.on;.p.wa.s.§;(p-p.oi-wa.ss-s.on-§)
pomme;.p.o.mm.e;.p.o.m.#;(p-p.o-o.mm-m.e-#)
pot;.p.o.t;.p.o.#;(p-p.o-o.t-#)
poumons;.p.ou.m.on.s;.p.u.m.§.#;(p-p.ou-u.m-m.on-§.s-#)
poussin;.p.ou.ss.in;.p.u.s.5;(p-p.ou-u.ss-s.in-5)
quatre;.qu.a.t.r.e;.k.a.t.R.*;(qu-k.a-a.t-t.r-R.e-*)
queue;.qu.eu.e;.k.2.#;(qu-k.eu-2.e-#)
quille;.qu.ill.e;.k.ij.#;(qu-k.ill-ij.e-#)
raisin;.r.ai.s.in;.R.E.z.5;(r-R.ai-E.s-z.in-5)
raisin;.r.ai.s.in;.R.E.z.5;(r-R.ai-E.s-z.in-5)
rire;.r.i.r.e;.R.y.R.#;(r-R.u-y.r-R.e-E#)
rire;.r.i.r.e;.R.y.R.#;(r-R.u-y.r-R.e-E#)
robot;.r.o.b.o.t;.R.o.b.O.#;(r-R.o-o.b-b.o-O.t-#)
roi;.r.oi.;.r.wA.;(r-R.oi-wA)
roue;.r.ou.e;.R.u.#;(r-R.ou-u.e-#)
rouge;.r.ou.g.e;.R.u.Z.#;(r-R.ou-u.g-Z.e-#)
rue;.r.u.e;.R.y.#;(r-R.u-y.e-#)
sa;.s.a;.s.a;(s-s.a-a)
sac;.s.a.c;.s.a.k;(s-s.a-a.c-k)
Sali;.s.a.l.i;.s.a.l.i;(s-s.a-a.l-l.i-i)
saumon;.s.au.m.on;.s.O.m.§;(s-s.au-O.m-m.on-§)
saxophone;.s.a.x.o.ph.o.n.e;.s.a.ks.o.f.o.n.#;(s-s.a-a.x-ks.o-o.ph-f.o-o.n-n.e-#)
sel;.s.e.l;.s.E.l;(s-s.e-E.l-l)
sept;.s.e.p.t;.s.E.#.t;(s-s.e-E.p-#.t-t)
singe;.s.in.g.e;.s.5.Z.#;(s-s.in-5.g-Z.e-#)
six;.s.i.x;.s.i.s;(s-s.i-i.x-s)
soleil;.s.o.l.e.il;.s.o.l.E.j;(s-s.o-o.l-l.e-E.il-j)
souris;.s.ou.r.i.s;.s.u.R.i.#;(s-s.ou-u.r-R.i-i.s-#)
souris;.s.ou.r.i.s;.s.u.R.i.#;(s-s.ou-u.r-R.i-i.s-#)
sous;.s.ou.s;.s.u.#;(s-s.ou-u.s-#)
sous;.s.ou.s;.s.u.#;(s-s.ou-u.s-#)
sur;.s.u.r;.s.y.R;(s-s.u-y.r-R)
sur;.s.u.r;.s.y.R;(s-s.u-y.r-R)
téléphone;.t.é.l.é.ph.o.n.e;.t.e.l.e.f.o.n.#;(t-t.é-e.l-l.é-e.ph-f.o-o.n-n.e-#)
tigre;.t.i.g.r.e;.t.i.g.R.*;(t-t.i-i.g-g.r-R.e-*)
tipi;.t.i.p.i;.t.i.p.i;(t-t.i-i.p-p.i-i)
toile;.t.oi.l.e;.t.wa.l.#;(t-t.oi-wa.l-l.e-#)
toujours;.t.ou.j.ou.r.s;.t.u.Z.u.R.#;(t-t.ou-u.j-Z.ou-u.r-R.s-#)
trace;.t.r.a.c.e;.t.R.a.s.#;(t-t.r-R.a-a.c-s.e-#)
train;.t.r.ain;.t.R.5;(t-t.r-R.ain-5)
trois;.t.r.oi.s;.t.R.wA.#;(t-t.r-R.oi-wA.s-#)
trois;.t.r.oi.s;.t.R.wA.#;(t-t.r-R.oi-wA.s-#)
un;.un;.1;(un-1)
uniforme;.u.n.i.f.o.r.m.e;.y.n.i.f.o.R.m.*;(u-y.n-n.i-i.f-f.o-o.r-R.m-m.e-*)
univers;.u.n.i.v.e.r.s;.y.n.i.v.E.R.#;(u-y.n-n.i-i.v-v.e-E.r-R.s-#)
vaisseau;.v.ai.ss.eau;.v.E.s.O;(v-v.ai-E.ss-s.eau-O)
vélo;.v.é.l.o;.v.e.l.O;(v-v.é-e.l-l.o-O)
vert;.v.e.r.t;.v.E.R.#;(v-v.e-E.r-R.t-#)
veuf;.v.eu.f;.v.9.f;(v-v.eu-9.f-f)
violon;.v.i.o.l.on;.v.j.o.l.§;(v-v.i-j.o-o.l-l.on-§)
vis;.v.i.s;.v.i.s;(v-v.i-i.s-s)
yaourt;.y.a.ou.r.t;.j.a.u.R.t;(y-j.a-a.ou-u.r-R.t-t)
yoga;.y.o.g.a;.j.o.g.a;(y-j.o-o.g-g.a-a)
zèbre;.z.è.b.r.e;.z.E.b.R.*;(z-z.è-E.b-b.r-R.e-*)
zéro;.z.é.r.o;.z.e.R.O;(z-z.é-e.r-R.o-O)
